E(level)(keV),JPi(level),E()(keV),I(),M(),BandName,BandNum,H
1020.1 1,7/2-,707.9 2,62 17,E 2,,,
1020.1 1,7/2-,707.9 2,21 5,E 2,,,
1020.1 1,7/2-,707.9 2,48 14,E 2,,,
1020.1 1,7/2-,778.2 2,10 3,E 2,,,
1020.1 1,7/2-,778.2 2,100 28,E 2,,,
1020.1 1,7/2-,778.2 2,62 17,E 2,,,
1020.1 1,7/2-,778.2 2,21 5,E 2,,,
1020.1 1,7/2-,778.2 2,48 14,E 2,,,
1020.1 1,7/2-,822.8 2,10 3,E 2,,,
1020.1 1,7/2-,822.8 2,100 28,E 2,,,
1020.1 1,7/2-,822.8 2,62 17,E 2,,,
1020.1 1,7/2-,822.8 2,21 5,E 2,,,
1020.1 1,7/2-,822.8 2,48 14,E 2,,,
1020.1 1,7/2-,938.7 2,10 3,E 2,,,
1020.1 1,7/2-,938.7 2,100 28,E 2,,,
1020.1 1,7/2-,938.7 2,62 17,E 2,,,
1020.1 1,7/2-,938.7 2,21 5,E 2,,,
1020.1 1,7/2-,938.7 2,48 14,E 2,,,
1020.1 1,7/2-,950.4 2,10 3,E 2,,,
1020.1 1,7/2-,950.4 2,100 28,E 2,,,
1020.1 1,7/2-,950.4 2,62 17,E 2,,,
1020.1 1,7/2-,950.4 2,21 5,E 2,,,
1020.1 1,7/2-,950.4 2,48 14,E 2,,,
1060.0 3,21/2+,164.0 3,13.0 11,E 2,,,
1060.0 3,21/2+,164.0 3,13.0 11,E 2,,,
1060.0 3,21/2+,164.0 3,100.0 6,E 2,,,
1060.0 3,21/2+,164.0 3,100.0 6,E 2,,,
1060.0 3,21/2+,355.7 3,13.0 11,E 2,,,
1060.0 3,21/2+,355.7 3,13.0 11,E 2,,,
1060.0 3,21/2+,355.7 3,100.0 6,E 2,,,
1060.0 3,21/2+,355.7 3,100.0 6,E 2,,,
1078.3 4,(13/2+),511.0 3,,E 2,,,
1078.3 4,(13/2+),511.0 3,,E 2,,,
1078.3 4,(13/2+),643 1 ?,,E 2,,,
1078.3 4,(13/2+),643 1 ?,,E 2,,,
1111.4 1,7/2+,660.0 2 ?,2.5 6,E 1,,,
1111.4 1,7/2+,660.0 2 ?,31 9,E 1,,,
1111.4 1,7/2+,660.0 2 ?,20 5,E 1,,,
1111.4 1,7/2+,660.0 2 ?,100 12,E 1,,,
1111.4 1,7/2+,799.1 2,2.5 6,E 1,,,
1111.4 1,7/2+,799.1 2,31 9,E 1,,,
1111.4 1,7/2+,799.1 2,20 5,E 1,,,
1111.4 1,7/2+,799.1 2,100 12,E 1,,,
1111.4 1,7/2+,914.0 2,2.5 6,E 1,,,
1111.4 1,7/2+,914.0 2,31 9,E 1,,,
1111.4 1,7/2+,914.0 2,20 5,E 1,,,
1111.4 1,7/2+,914.0 2,100 12,E 1,,,
1111.4 1,7/2+,1030.0 2,2.5 6,E 1,,,
1111.4 1,7/2+,1030.0 2,31 9,E 1,,,
1111.4 1,7/2+,1030.0 2,20 5,E 1,,,
1111.4 1,7/2+,1030.0 2,100 12,E 1,,,
1126.9 1,5/2-,864.6 2,100 26,E 2,,,
1126.9 1,5/2-,864.6 2,89 26,E 2,,,
1126.9 1,5/2-,864.6 2,16 4,E 2,,,
1126.9 1,5/2-,864.6 2,32 8,E 2,,,
1126.9 1,5/2-,1045.2 2,100 26,E 2,,,
1126.9 1,5/2-,1045.2 2,89 26,E 2,,,
